Area da unidade territorial  2016,Estabelecimentos de Saude SUS,Indice de Desenvolvimento Humano Municipal  2010 IDHM 2010,Matricula  Ensino fundamental  2015,Matricula  Ensino medio  2015,Numero de unidades locais,Pessoal ocupado total,PIB per capita a precos correntes  2014,Populacao residente ,Populacao residente  Homens,Populacao residente  Mulheres,Populacao residente alfabetizada,Populacao residente que frequentava creche ou escola ,Populacao residente religiao catolica apostolica romana,Populacao residente religiao espirita,Populacao residente religiao evangelicas,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Rural,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Urbana,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Rural,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Urbana,Cidade
881.064,6,0.689,814,288,371,2446,27399.24,6704,3400,3304,5749,1475,5026,83,1145,500.00,510.00,1987.85,1596.65,Abadia dos Dourados
1817.065,9,0.698,2839,755,702,4447,14914.93,22690,11230,11460,19531,6559,18627,375,2650,420.00,506.25,1708.99,2155.36,Abaete
470.551,13,0.654,1787,500,366,2029,11331.93,13311,6669,6642,10890,3481,11582,27,1552,220.00,426.00,1032.96,1916.86,Abre Campo
101.886,3,0.630,620,175,58,439,7696.61,3920,1894,2026,3211,1219,3277,3,513,306.00,300.00,1075.08,1102.98,Acaiaca
815.422,12,0.610,1467,407,94,613,6992.88,10276,5228,5048,7853,2769,7346,19,2308,255.00,340.00,978.88,1287.52,Acucena
1320.258,7,0.576,2584,624,185,1003,7541.38,15195,7742,7453,10510,4836,11484,10,3041,216.00,335.50,996.03,1398.32,Agua Boa
492.212,2,0.675,245,80,46,259,47733.30,2025,1073,952,1777,494,1663,33,179,560.00,510.00,1941.36,1904.54,Agua Comprida
232.091,2,0.663,509,180,108,706,11005.83,4054,2061,1993,3340,1001,3158,2,743,340.00,510.00,1323.34,1758.30,Aguanil
820.079,12,0.645,2906,844,402,1984,9586.30,18479,9318,9161,13063,5498,13817,21,3934,185.00,277.67,754.37,1548.89,Aguas Formosas
1256.613,5,0.601,2158,477,125,899,11647.07,12722,6526,6196,8682,3888,9877,12,2071,170.00,255.00,864.01,1247.82,Aguas Vermelhas
1348.913,20,0.684,3130,675,510,3396,14084.98,24959,12061,12898,19952,7244,11144,40,9875,300.00,463.50,1053.95,1896.36,Aimores
649.680,4,0.668,722,228,119,722,11195.68,6162,3206,2956,5071,1837,5502,9,441,400.00,450.00,1392.11,1865.46,Aiuruoca
161.356,3,0.649,330,94,45,390,10228.40,2709,1408,1301,2199,652,2175,3,460,300.00,510.00,1044.49,1620.78,Alagoa
58.010,1,0.673,359,101,69,378,23810.65,2913,1488,1425,2453,735,2280,12,488,433.33,510.00,1625.72,1911.18,Albertina
510.250,27,0.726,4380,1075,2175,8621,20767.04,34349,16538,17811,29762,8925,20925,1641,8488,270.75,510.00,1037.80,2154.87,Alem Paraiba
850.446,33,0.761,9784,2771,2713,22037,25103.11,73774,36081,37693,64731,22434,57337,1594,11675,425.00,510.80,1419.81,2565.37,Alfenas
130.815,1,0.675,971,257,135,755,11117.90,6075,3110,2965,5097,1597,5720,43,222,300.00,377.50,1151.95,1483.43,Alfredo Vasconcelos
2294.426,19,0.642,6227,1504,889,5570,10240.99,38775,19534,19241,28216,11634,28558,279,6794,233.33,327.50,846.13,1551.85,Almenara
166.972,6,0.646,1089,301,107,930,8523.82,7172,3590,3582,5656,2007,4197,3,2470,255.00,330.00,938.14,1388.89,Alpercata
454.751,15,0.725,2292,817,488,2658,14806.49,18488,9493,8995,15985,5012,16459,83,1614,403.33,510.00,1641.59,2181.49,Alpinopolis
362.010,6,0.668,1681,483,320,1626,11742.89,13717,6981,6736,11498,3272,12092,106,1219,382.50,452.50,1405.16,1493.57,Alterosa
103.690,3,0.661,754,112,126,636,9965.55,5297,2726,2571,4370,1317,1534,3,2962,315.71,458.00,1552.57,1538.79,Alto Caparao
152.272,10,0.660,1118,383,179,881,10060.17,8318,4249,4069,6943,1964,4099,185,3409,255.00,510.00,1253.73,1670.07,Alto Jequitiba
518.053,8,0.620,1489,476,190,989,8700.24,12159,6102,6057,9955,3027,11679,6,433,250.00,382.50,942.67,1340.38,Alto Rio Doce
278.173,3,0.592,686,181,45,296,7485.13,4444,2239,2205,3455,1402,3313,-,980,191.50,333.33,775.22,1309.99,Alvarenga
599.443,10,0.676,1900,607,324,2648,14473.63,15261,7535,7726,12654,4193,13302,153,1455,304.00,402.50,1114.83,1659.47,Alvinopolis
374.008,5,0.572,856,185,61,513,18697.13,3546,1779,1767,2581,1436,3240,3,287,163.33,142.40,1001.49,1229.92,Alvorada de Minas
136.186,4,0.641,636,190,52,410,7719.84,5053,2484,2569,4034,1406,4260,3,661,255.00,344.00,1135.53,1415.93,Amparo do Serra
469.396,20,0.734,4380,1158,1463,10148,18295.45,37270,18681,18589,32193,9437,28203,578,6661,503.33,580.00,1856.85,2447.41,Andradas
1005.285,6,0.700,1397,358,317,1582,13520.67,12173,6066,6107,10304,2824,10681,89,1081,255.00,410.00,1148.44,1755.23,Andrelandia
185.211,3,0.597,1653,505,81,651,9062.84,8003,3950,4053,5500,3137,5479,-,1913,192.67,286.40,972.13,1507.24,Angelandia
529.915,5,0.683,1244,346,185,1510,10260.83,11114,5530,5584,9277,2902,9737,177,927,217.14,420.00,1330.07,1553.68,Antonio Carlos
787.061,13,0.645,1380,443,129,1326,12180.98,9565,4829,4736,7632,2909,6648,15,2515,255.00,315.00,1206.42,1387.13,Antonio Dias
83.802,4,0.684,206,56,55,231,10829.68,1671,861,810,1434,421,1319,4,286,340.00,510.00,1199.49,1825.35,Antonio Prado de Minas
187.538,1,0.695,332,106,44,421,15946.19,2243,1083,1160,1883,648,1789,51,269,466.67,482.67,1176.31,1603.46,Aracai
106.608,1,0.661,243,67,44,256,8912.74,2058,1053,1005,1742,481,1894,9,129,204.00,340.00,964.56,1071.67,Aracitaba
2236.279,20,0.663,5386,1700,707,4380,9171.63,36013,17848,18165,27578,11425,31896,66,3213,170.00,342.50,813.66,1841.62,Aracuai
2729.508,48,0.773,13232,4050,3336,24687,29606.03,109801,54160,55641,97365,28866,72554,3264,26531,510.00,570.00,2222.83,2496.51,Araguari
89.420,2,0.697,381,142,65,448,14183.99,2823,1415,1408,2384,727,2553,7,214,455.00,380.00,1909.56,1212.97,Arantina
303.793,3,0.536,1185,269,105,472,7517.54,8152,4191,3961,6017,2114,6789,15,977,252.50,301.75,1108.17,1222.42,Araponga
